function,frequency
frac,10743
cdot,8080
begin,4836
end,4836
left,2941
right,2939
textcolor,2929
Rightarrow,2547
vec,2047
sqrt,1402
approx,1336
color,1142
pi,922
alpha,789
prime,732
times,718
quad,715
rightarrow,702
enspace,622
text,580
circ,521
textrm,504
lambda,482
Leftrightarrow,480
in,450
sin,438
int,437
operatorname,431
dfrac,353
bar,315
cos,308
mu,296
vert,289
mathbb,277
big,270
mathbf,248
leq,245
textit,245
bigr,245
bigl,245
overset,213
pm,208
sigma,195
overrightarrow,179
infty,173
binom,171
rightleftharpoons,161
mathrm,152
f,150
ln,143
forall,143
beta,140
Omega,140
sum,128
geq,125
E,122
gamma,116
overline,115
Delta,114
omega,110
hat,103
varepsilon,101
textbf,93
lim,92
neq,91
cap,89
exists,85
xrightarrow,82
euro,81
underset,72
P,71
mid,70
Phi,69
ddot,63
limits,58
epsilon,57
v,56
delta,55
g,52
R,52
to,49
textup,46
p,46
underrightarrow,45
arctan,45
ss,43
newline,43
longrightarrow,42
neg,40
underline,40
backslash,38
tan,38
t,37
wedge,36
log,33
leftrightarrow,31
a,30
F,29
stackrel,29
min,27
varphi,27
arcsin,26
A,24
k,23
bold,23
x,22
m,21
div,20
sim,19
star,18
max,18
setminus,17
c,17
subseteq,16
qquad,13
red,13
Biggl,13
vee,13
blue,12
N,12
C,11
V,11
rm,11
h,10
eta,10
n,10
G,10
arccos,10
degree,10
dots,9
ne,9
W,9
b,9
triangle,8
T,8
tau,8
d,8
small,8
cdots,7
partial,7
rfloor,7
tilde,7
lfloor,7
le,7
z,7
theta,6
Hypotenuse,6
displaystyle,6
notin,6
rho,6
phi,6
footnotesize,5
rceil,5
Ankathete,5
Koordinatenform,5
not,5
Gegenkathete,5
S,5
lceil,4
xLeftrightarrow,4
infin,4
bullet,4
overleftarrow,4
w,4
HNF,4
Gamma,4
nexists,4
land,4
Ebene,4
s,4
Theta,4
green,4
Big,4
mit,4
U,3
rangle,3
leftarrow,3
emptyset,3
CH,3
dot,3
bmod,3
lg,3
Longrightarrow,3
uparrow,3
subset,3
ldots,3
Leftarrow,3
Alternative,3
langle,3
rvert,2
varnothing,2
boxed,2
cup,2
succeq,2
prod,2
H,2
Winkel,2
r,2
leftrightharpoons,2
thickapprox,2
bf,2
Z,2
reiner,2
ge,2
e,2
Gerade,2
D,2
Q,2
bm,2
dotsc,2
mathcal,2
lvert,2
Kugel,2
scriptsize,2
Wenn,1
gt,1
tfrac,1
Gesucht,1
lbrace,1
bigcap,1
zeta,1
Longleftrightarrow,1
sqsubseteq,1
nsubseteq,1
imath,1
supseteq,1
supset,1
besser,1
Gangunterschied,1
B,1
xrightleftharpoons,1
Grenzwert,1
Re,1
nless,1
longleftrightarrow,1
M,1
Tangente,1
Alkene,1
Alkine,1
downarrow,1
boldsymbol,1
Stuetzvektor,1
pq,1
exist,1
rightharpoonup,1
Bigl,1
Bigr,1
leftharpoondown,1
scriptstyle,1
u,1
